Date,Store,Product,Category,Units Sold,Revenue,Profit,Customer Feedback,Profit Margin %
2025-02-11,Leeds,Cake,Bakery,393,983,154,3.3,15.67
2025-02-05,Leeds,Bread,Bakery,175,147,151,4.4,102.72
2025-01-12,Birmingham,Juice,Beverages,464,970,120,4.7,12.37
2025-02-15,London,Milk,Dairy,141,753,165,3.8,21.91
2025-02-07,Birmingham,Milk,Dairy,233,549,207,4.2,37.7
2025-01-07,Leeds,Bread,Bakery,63,167,251,4.9,150.3
2025-01-04,Leeds,Oranges,Fruits,271,931,145,4.7,15.57
2025-02-17,London,Cheese,Dairy,57,923,24,3.4,2.6
2025-01-06,London,Cheese,Dairy,463,302,214,4.8,70.86
2025-02-03,Birmingham,Cheese,Dairy,377,208,190,4.5,91.35
2025-01-13,London,Tea,Beverages,116,128,199,4.4,155.47
2025-01-19,London,Cake,Bakery,382,103,70,4.4,67.96
2025-01-09,Birmingham,Cake,Bakery,379,438,93,4.3,21.23
2025-02-04,Leeds,Oranges,Fruits,109,123,120,3.4,97.56
2025-01-16,Birmingham,Juice,Beverages,378,758,103,4.5,13.59
2025-01-30,London,Oranges,Fruits,369,802,218,4.8,27.18
2025-01-07,Birmingham,Cake,Bakery,151,924,237,4.7,25.65
2025-02-05,Birmingham,Juice,Beverages,403,487,219,4.5,44.97
2025-01-31,London,Juice,Beverages,224,196,185,3.7,94.39
2025-02-01,London,Tea,Beverages,142,203,177,3.7,87.19
2025-02-13,London,Milk,Dairy,197,995,144,4.9,14.47
2025-02-02,Birmingham,Cheese,Dairy,420,155,213,3.5,137.42
2025-01-23,London,Bananas,Fruits,449,521,263,4.8,50.48
2025-02-18,London,Tea,Beverages,56,767,73,4.4,9.52
2025-02-02,Leeds,Bread,Bakery,286,501,26,3.8,5.19
2025-01-28,Birmingham,Juice,Beverages,441,976,20,3.4,2.05
2025-01-17,Leeds,Tea,Beverages,384,615,231,4.2,37.56
2025-01-29,London,Juice,Beverages,240,196,181,3.5,92.35
2025-01-02,Leeds,Bananas,Fruits,296,692,190,4.2,27.46
2025-02-08,Birmingham,Bananas,Fruits,130,546,120,4.3,21.98
2025-02-18,Birmingham,Milk,Dairy,61,812,256,4.4,31.53
2025-01-06,London,Apples,Fruits,300,594,210,3.1,35.35
2025-01-14,Birmingham,Milk,Dairy,100,251,156,4.5,62.15
2025-01-28,Leeds,Tea,Beverages,339,184,47,4.4,25.54
2025-01-09,Birmingham,Apples,Fruits,123,486,146,3.3,30.04
2025-01-22,London,Apples,Fruits,387,303,76,3.8,25.08
2025-02-09,Birmingham,Oranges,Fruits,431,320,131,4.2,40.94
2025-01-23,Leeds,Juice,Beverages,68,720,162,4.5,22.5
2025-01-13,Leeds,Cheese,Dairy,279,104,228,3.5,219.23
2025-02-12,Leeds,Bread,Bakery,90,746,176,4.6,23.59
2025-01-23,Leeds,Cheese,Dairy,56,171,251,4.9,146.78
2025-02-08,London,Cheese,Dairy,291,976,202,3.2,20.7
2025-01-21,London,Oranges,Fruits,345,605,140,4.3,23.14
2025-01-30,London,Cheese,Dairy,265,342,194,4.9,56.73
2025-01-22,Leeds,Oranges,Fruits,243,721,54,4.5,7.49
2025-02-10,Birmingham,Tea,Beverages,228,862,140,4.1,16.24
2025-01-20,London,Cake,Bakery,241,241,133,3.5,55.19
2025-01-01,Birmingham,Bread,Bakery,438,768,46,5.0,5.99
2025-02-11,Leeds,Cake,Bakery,360,393,151,3.7,38.42
2025-02-04,Leeds,Bananas,Fruits,176,446,126,4.9,28.25
2025-02-15,London,Bread,Bakery,422,532,203,4.6,38.16
2025-01-20,Birmingham,Cake,Bakery,482,329,105,4.3,31.91
2025-01-27,Leeds,Apples,Fruits,258,522,171,4.1,32.76
2025-01-12,Birmingham,Bread,Bakery,387,680,126,3.5,18.53
2025-01-07,Leeds,Bananas,Fruits,172,651,214,4.2,32.87
2025-01-28,Birmingham,Cake,Bakery,348,617,181,3.5,29.34
2025-02-16,Birmingham,Tea,Beverages,308,673,188,3.2,27.93
2025-01-20,Leeds,Cake,Bakery,255,342,251,4.4,73.39
2025-02-18,Birmingham,Bread,Bakery,421,877,56,3.8,6.39
2025-01-02,Leeds,Apples,Fruits,253,807,77,3.4,9.54
2025-01-23,Birmingham,Cake,Bakery,480,847,273,4.8,32.23
2025-01-22,Birmingham,Bread,Bakery,264,505,213,3.2,42.18
2025-02-07,Leeds,Oranges,Fruits,186,274,135,4.4,49.27
2025-01-24,London,Cake,Bakery,51,668,148,4.7,22.16
2025-02-14,Birmingham,Tea,Beverages,401,196,99,4.0,50.51
2025-01-08,Birmingham,Milk,Dairy,91,404,139,4.4,34.41
2025-01-13,Birmingham,Cake,Bakery,93,118,23,3.0,19.49
2025-01-30,London,Apples,Fruits,138,593,253,4.7,42.66
2025-01-26,Birmingham,Tea,Beverages,101,761,155,3.2,20.37
2025-01-09,Leeds,Tea,Beverages,103,868,73,3.8,8.41
2025-02-08,London,Milk,Dairy,427,662,199,3.8,30.06
2025-01-14,London,Tea,Beverages,134,885,200,4.5,22.6
2025-02-04,London,Milk,Dairy,209,837,102,3.9,12.19
2025-02-17,London,Juice,Beverages,368,954,251,3.4,26.31
2025-02-08,London,Milk,Dairy,287,619,265,4.5,42.81
2025-01-13,Leeds,Cake,Bakery,83,503,120,4.4,23.86
2025-01-25,Birmingham,Bread,Bakery,339,417,28,4.7,6.71
2025-01-09,London,Bananas,Fruits,93,921,128,3.1,13.9
2025-01-27,Birmingham,Oranges,Fruits,442,246,288,4.4,117.07
2025-01-05,Leeds,Tea,Beverages,244,104,241,4.8,231.73
2025-01-23,London,Cheese,Dairy,297,427,254,4.9,59.48
2025-01-30,Birmingham,Cheese,Dairy,82,743,279,4.5,37.55
2025-01-04,London,Milk,Dairy,228,277,216,3.4,77.98
2025-01-16,Leeds,Cake,Bakery,478,637,41,3.2,6.44
2025-02-12,London,Cheese,Dairy,244,823,173,3.9,21.02
2025-02-18,Leeds,Juice,Beverages,387,698,127,5.0,18.19
2025-02-07,Birmingham,Cake,Bakery,122,887,33,4.1,3.72
2025-01-07,London,Cake,Bakery,281,446,50,4.5,11.21
2025-01-30,Birmingham,Tea,Beverages,412,865,75,4.0,8.67
2025-01-04,London,Oranges,Fruits,76,872,267,4.5,30.62
2025-02-04,Birmingham,Bread,Bakery,454,481,293,3.4,60.91
2025-02-01,Leeds,Oranges,Fruits,96,469,265,4.7,56.5
2025-01-04,London,Tea,Beverages,120,578,219,3.5,37.89
2025-01-28,Birmingham,Bread,Bakery,303,765,71,3.1,9.28
2025-01-07,Birmingham,Cake,Bakery,155,153,74,5.0,48.37
2025-01-25,Leeds,Apples,Fruits,137,961,182,4.9,18.94
2025-02-17,London,Cake,Bakery,108,258,227,4.6,87.98
2025-01-17,Birmingham,Bananas,Fruits,373,862,131,4.7,15.2
2025-01-01,London,Bananas,Fruits,430,525,126,4.1,24.0
2025-02-11,Leeds,Bread,Bakery,126,800,161,3.0,20.12
